"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"Rice bran is an underutilized by-product of rice milling industry which is mainly used as feed or in energy production but could provide a feasible plant based raw material for food products when further processed. From nutritional viewpoint, rice bran contains 13.1-17.3% protein which can be seen superior to other cereal proteins due to its hypoallergenic and gluten-free properties and high lysine content. The aim of this master's thesis was to study the effect of different pre-treatments on dry fractionation of rice bran proteins by air classification. The objective was to elucidate the effect of fat extraction, particle size reduction, air classification and sieving on the raw material structure, composition and protein enrichment by air classification. Effect of carbohydrate hydrolysing enzyme treatments in low moisture content followed by washing and dehydration with ethanol was also studied in terms of protein enrichment during air classification. Moreover, protease-aided solubilisation of the liberated rice bran proteins was studied. Fat extraction and milling were found out to be the most essential pre-treatment steps allowing protein enrichment from rice bran by air classification. When utilizing one-step air classification after fat extraction and milling, the protein content could be increased 8.2 percentage points. However, the more the protein content increased, the more the total protein yield decreased. Approaches utilizing two-step fractionations showed that by air classifying the raw material prior to milling the protein fractionation could be enhanced. Especially, by milling and further air classifying the coarse fraction accounting for 70% of the raw material, a fine fraction with even a higher protein content compared to the one-step approach was obtained. This protein content was the highest achieved in this work, and the most critical factor restricting further enrichment was suggested to be the intensive particle size reduction of the non-protein structures and the inefficient detachment of the residual proteins from other bran components. Additionally, further air classification of the fine fraction accounting for 30% of the raw material enabled almost total removal of pericarp structures from fine fraction. Pre-treatment with cell wall degrading enzymes did not improve the protein fractionation efficacy by air classification. Protease treatment of the liberated proteins was able to solubilise 75% of the raw material protein suggesting that some interactions took place in the residue between the proteins and other bran components thus restricting the solubility.";"dtu|dtupub";"BA3408 Food solutions";"2022-03-28T07:13:43.166Z";"Silventoinen-Veijalainen, Pia";"";"2708546424";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"air classification|carbohydrate hydrolysing enzyme|dry fractionation|ethanol-dehydration|fat extraction|pin disc milling|protein|rice bran|sieving";"air classification|carbohydrate hydrolysing enzyme|dry fractionation|ethanol-dehydration|fat extraction|pin disc milling|protein|rice bran|sieving";"air classification|carbohydrate hydrolysing enzyme|dry fractionation|ethanol-dehydration|fat extraction|pin disc milling|protein|rice bran|sieving";"eng";"6231fa08d83fd1b6f3d6d0ff";"";"6231fa08d83fd1b6f3d6d0ff";"Aalto University";"vtt";"vtt";"Impact of physical and biochemical pre-treatments on dry fractionation of rice bran proteins by air classification"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:07:57.852Z";"Corts, Nona Fortian";"";"2371966949";"";"dtu";"2017";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Industrial Engineering and Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Industrial Engineering and Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Industrial Engineering and Management|Planl. innovation og led.|kandidat";"und";"5958d2515010df45a12b34e8";"";"5958d2515010df45a12b34e8";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Inventory management in the food industry – centralization vs. decentralization|Lagerstyring i fødevareindustrien - centralisering vs. decentralisering"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:05:47.617Z";"Jensen, Christian Vestergren";"";"2371966992";"";"dtu";"2017";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Materials and Manufacturing Engineering|Materialetek.|kandidat";"Master of Science in Engineering|Master of Science in Materials and Manufacturing Engineering|Materialetek.|kandidat";"Master of Science in Engineering|Master of Science in Materials and Manufacturing Engineering|Materialetek.|kandidat";"und";"5958d2625010df45a12b3524";"";"5958d2625010df45a12b3524";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Battery Replacement System for Hearing Aids|System for batteriudskiftning i høreapperater"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:12:55.374Z";"Kosmidis, Eleftherios";"";"2306688417";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"und";"5790ab446bbf232e700002ff";"";"5790ab446bbf232e700002ff";"DTU Department of Physics";"sorbit";"sorbit";"The osmotic oscillator: Time dependent flows in osmotic boundary layers|Den osmotiske oscillator: Tids-afhængige strømninger i osmotiske grænselag"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:19.800Z";"Galecki, Bartosz Szymon";"";"2305633383";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"Master of Science in Engineering|Master of Science in Wind Energy|Vindenergi|kandidat";"und";"575ea678e6f951534a00e46a";"";"575ea678e6f951534a00e46a";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Models and methods for offshore wind farm layout optimization using Fuga|Modeller og metoder for optimering af offshore vindmølleparker med Fuga"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:18.680Z";"Boesen, Søren Højland|Preisz, Andreas Axel Fortuné";"";"2292734334";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"Master of Science in Engineering|Master of Science in Engineering Management|Planl. innovation og led.|kandidat";"und";"56d754aabf194551020000fa";"";"56d754aabf194551020000fa";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"The Ecosystem of University-Industry collaboration and the effect on student entrepreneurship|Økosystemet for universitets- og virksomhedssamarbejde og effekten pa studenteriværksætteri."
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:18.364Z";"Kjølbro, Jogvan Nikolaj";"";"2292734632";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"Fysik og nanotek.|Master of Science in Engineering|Master of Science in Physics and Nanotechnology|kandidat";"und";"56d754acbf194551020001ae";"";"56d754acbf194551020001ae";"DTU Department of Electrical and Photonics Engineering";"sorbit";"sorbit";"Plasmons in low-dimensional materials|Plasmoner i lav-dimensionale materialer"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:17.322Z";"Nylin, Morten";"";"2292734476";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"und";"56d754abbf19455102000152";"";"56d754abbf19455102000152";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Flexible row detection for agriculture|Fleksibel rækkedetektering for anvendelse i landbrug"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:08:04.436Z";"Simopoulos, Georgios";"";"2306510174";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"Elektrotek.|Master of Science in Electrical Engineering|Master of Science in Engineering|kandidat";"und";"578770d06bbf232e70000103";"";"578770d06bbf232e70000103";"DTU Department of Electrical Engineering";"sorbit";"sorbit";"Study of the impacts of large-scale solar PV plants on grid frequency|Undersøgelse af pavirkningen ved stor-skala socelleanlæg pa net-frekvensen"
"";"dtu|dtupub|third_party";"";"2022-01-03T13:16:30.478Z";"Thiruchelvam, Suthanthary";"";"2306791752";"";"dtu";"2016";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"Bæredygtig energi|Master of Science in Engineering|Master of Science in Sustainable Energy|kandidat";"Bæredygtig energi|Master of Science in Engineering|Master of Science in Sustainable Energy|kandidat";"Bæredygtig energi|Master of Science in Engineering|Master of Science in Sustainable Energy|kandidat";"und";"579743e06bbf232e700010df";"";"579743e06bbf232e700010df";"DTU Department of Civil Engineering";"sorbit";"sorbit";"Transition to Low-Temperature District Heating (LTDH) in the municipality of Albertslund|Transition to Low-Temperature District Heating (LTDH) in the municipality of Albertslund"
