"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2023-08-21T00:11:11.359Z";"Roura, Martí Meya";"";"2727790430";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64e2ab9f4e471c2052494813";"";"64e2ab9f4e471c2052494813";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Optimization of a shell-and-tube heat exchanger|Optimering af en rørvarmeveksler"
"";"dtu|dtupub|third_party";"";"2023-08-30T00:09:18.798Z";"Gallardo, Carlos Bocanegra";"";"2727978249";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64ee88ae48d43e20527ae33e";"";"64ee88ae48d43e20527ae33e";"DTU Department of Wind and Energy Systems";"sorbit";"sorbit";"Faults transient analysis in HVDC-based offshore wind farms|Fejltransientanalyse i HVDC-baserede havvindmølleparker"
"";"dtu|dtupub|third_party";"";"2023-07-30T00:11:05.910Z";"Nielsen, Fie Fredshavn|Vestermark, Jakob Weber";"";"2727401195";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64c5aa99ded3071f4f8eaeec";"";"64c5aa99ded3071f4f8eaeec";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Strategic sourcing for a circular business model|Indkøbsstrategi til en cirkulær forretningsmodel"
"";"dtu|dtupub|third_party";"";"2023-08-09T00:10:44.835Z";"Branisa, Samuel";"";"2727571201";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64d2d984289ae81f4fa37248";"";"64d2d984289ae81f4fa37248";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Performance Benchmarking in Unstable Environments|Ydelses Benchmarking i ustabile miljøer"
"";"dtu|dtupub|third_party";"";"2023-08-12T00:10:35.781Z";"Astrup, Carl Johan|Skovhus, Julian Simon Róin";"";"2727615859";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64d6cdfb05bbc820522f461e";"";"64d6cdfb05bbc820522f461e";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Modelling Latent Demand in EV-chargers|Modellering af latent efterspørgsel af elbils-ladestandere"
"";"dtu|dtupub|third_party";"";"2023-08-27T00:09:25.308Z";"Cui, Jiyuan";"";"2727903519";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64ea9435c6a5e020529f47ee";"";"64ea9435c6a5e020529f47ee";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Investigating energy flexibility services from building clusters with multi-carrier energy systems using simulations|Investigating energy flexibility services from building clusters with multi-carrier energy systems using simulations"
"";"dtu|dtupub|third_party";"";"2023-08-21T00:11:20.422Z";"Sehube, Erlend Thabiso Rømyhr";"";"2727790451";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64e2aba811ac0a2052340915";"";"64e2aba811ac0a2052340915";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Reducing the Footprint: A Gap Analysis of Reducing the Emission for Floating Offshore Wind Developers in Europe|Reducering af Fodaftrykket: En Gap Analyse for at Reducere Udledning for Flydende Havvind Udviklere i Europa"
"";"dtu|dtupub|third_party";"";"2023-07-13T00:10:51.529Z";"Linder, Antoine Valentin Paolo|Ladegaard, Aksel Nordvig";"";"2727066660";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64af410b45c35f915230404f";"";"64af410b45c35f915230404f";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Designing take-back systems to improve the circularity of existing and future heating systems|Designing take-back systems to improve the circularity of existing and future heating systems"
"";"dtu|dtupub|third_party";"";"2023-07-31T00:11:45.688Z";"Søder, Gustav Skouboe";"";"2727406409";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"64c6fc41ee22271f4f5e8a90";"";"64c6fc41ee22271f4f5e8a90";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Corrosion and surface properties of tool steel for injection molding|Korrosion, slid og overflade egenskaber af værktøjsstal til sprøjtestøbning"
"";"dtu|dtupub|third_party";"";"2023-09-13T00:09:28.979Z";"Kotoglou, Vasiliki";"";"2728303070";"";"dtu";"2023";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"6500fdb85927130193329a75";"";"6500fdb85927130193329a75";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Maritime green corridors to decarbonize shipping|Maritime grønne korridorer for at dekarbonisere skibsfart"
