"abstract_ts";"access_ss";"Affiliations";"Timestamp";"Author";"citation_count_i";"ID";"dtu_library_collection_facet";"collection_facet";"Publication Year";"Conference";"DOI";"Editor";"embargo_ssf";"format";"fulltext_availability_facet";"has_openaccess_fulltext_b";"holdings_ssf";"ISBN";"Journal Issue";"journal_issue_tsort";"journal_oa_model_ss";"Journal Page";"journal_page_start_tsort";"Journal Title";"journal_title_facet";"toc_key_s";"Journal Volume";"journal_vol_tsort";"keywords_ts";"keywords_facet";"keywords_normalized";"isolanguage_facet";"member_id_ss";"ORCID";"primary_member_id_s";"Publisher";"Source";"source_all_ss";"Title"
"";"dtu|dtupub|third_party";"";"2026-03-15T01:20:09.185Z";"Andersen, Kristine Juul";"";"2878745736";"";"dtu";"2026";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"69b606faf8fb6c34fa71f107";"";"69b606faf8fb6c34fa71f107";"DTU Department of Environmental and Resource Engineering";"sorbit";"sorbit";"In-situ documentation of the properties of concrete related to reuse|In-situ dokumentation af betons egenskaber med henblik pa genbrug"
"";"dtu|dtupub|third_party";"";"2025-07-27T00:10:00.018Z";"Lauverjat, Enzo Gerard Manuel";"";"2872567569";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"68856e57b13a8001026e0afa";"";"68856e57b13a8001026e0afa";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Ship performance at slow speed with propulsion using Computed Wing Sails for just in time arrival|Skibets ydeevne ved lav hastighed med fremdrift fra Computed Wing Sails (CWS) vingesejl til 'just in time arrival'"
"";"dtu|dtupub|third_party";"";"2025-07-21T00:10:04.528Z";"Maratta, Gian Marco";"";"2872420839";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"687d855c92a51501029c593e";"";"687d855c92a51501029c593e";"DTU Department of Civil and Mechanical Engineering";"sorbit";"sorbit";"Design and dynamic monitoring of a jacket foundation model by a digital twin|Design og dynamisk monitorering af en jacket-fundament-model ved en digital tvilling"
"";"dtu|dtupub|third_party";"";"2025-04-29T00:10:18.146Z";"Jørgensen, Nicolai Riisbjerg";"";"2870595366";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"681018ea7003020a880c53c3";"";"681018ea7003020a880c53c3";"DTU Department of Space Research and Space Technology";"sorbit";"sorbit";"Design of a Low-Noise Receiver Chip using a Gilbert Cell Mixer with Dynamic Current Injection for Doppler Radars|Design af en lavstøjs modtagerchip ved brug af en Gilbert celle mikser med dynamisk current injection til Doppler radar"
"";"dtu|dtupub|third_party";"";"2025-08-14T00:09:36.887Z";"Deng, Siyuan";"";"2872988369";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"689d294027df7f01020cebe5";"";"689d294027df7f01020cebe5";"DTU Department of Applied Mathematics and Computer Science";"sorbit";"sorbit";"Vision-Based Process Mining: Event Extraction Using Monocular and Multi-Camera Systems with LLM Comparison|Vision-Based Process Mining: Hændelsesekstraktion ved hjælp af monokulære og multikamerasystemer med LLM-sammenligning"
"";"dtu|dtupub|third_party";"";"2025-09-13T00:09:47.368Z";"Clausen, Celina Lykke";"";"2873797319";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"68c4b64bbba4811074e09e90";"";"68c4b64bbba4811074e09e90";"DTU Department of Health Technology";"sorbit";"sorbit";"Prediction of protein sorting to lysosomes in human cells|Forudsigelse af proteinsortering til lysosomer i humane celler"
"";"dtu|dtupub|third_party";"";"2025-08-02T00:10:35.714Z";"Medved, Filip";"";"2872713027";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub_external";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"688d577bfcf5360102a1e259";"";"688d577bfcf5360102a1e259";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Growth and Scalability in SaaS Startups|Growth and Scalability in SaaS Startups"
"";"dtu|dtupub|third_party";"";"2025-08-02T00:10:27.278Z";"Gereoudakis, Polyvios";"";"2872712978";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"688d57728e1e270102bab9b6";"";"688d57728e1e270102bab9b6";"DTU Department of Environmental and Resource Engineering";"sorbit";"sorbit";"Ultrafine Particle Pollution (UFP) in Indoor Airport Environments, A scoping review assessing employee and passenger exposure and the effects on the surrounding urban air quality|Ultrafine Partikel Forurening (UFP) i Indendørs Lufthavns Miljøer, En kortlægning af medarbejder- og passager eksponering og effekterne pa den omkringliggende byluftkvalitet"
"";"dtu|dtupub|third_party";"";"2026-03-26T01:23:10.401Z";"Battistini, Andreas Lautrup";"";"2879186513";"";"dtu";"2026";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"69c48771db227932fc666471";"";"69c48771db227932fc666471";"DTU Department of Technology, Management and Economics";"sorbit";"sorbit";"Leveraging Blockchain Technology for Sustainable Business Models in Supply Chains|Blockchain-Teknologiens rolle i at fremme bæredygtige forretningsmodeller i forsyningskæder"
"";"dtu|dtupub|third_party";"";"2025-07-15T00:10:12.244Z";"Hansen, Kamilla Kastrup";"";"2872326901";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"68759c575d1c480102091094";"";"68759c575d1c480102091094";"DTU Department of Environmental and Resource Engineering";"sorbit";"sorbit";"Exploring the role of consumer behaviour on the environmental footprint of T-shirts and pants through scenario-based life cycle assessment|Undersøgelse af forbrugeradfærdens rolle i scenariebaseret livscyklusvurdering af T-shirts og buksers miljøpavirkning"
"";"dtu|dtupub|third_party";"";"2025-02-24T02:02:36.468Z";"Peiris, Elisha Hirushani";"";"2868255922";"";"dtu";"2025";"";"";"";"";"thesis";"dtu|dtu_electronic|dtupub|dtupub_electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"und";"67bbc6e1c6a30266d76ec02d";"";"67bbc6e1c6a30266d76ec02d";"DTU Department of Health Technology";"sorbit";"sorbit";"Imaging brainstem neuromelanin structures and their connectivity at 3T|Afbildning af neuromelaninstrukturer i hjernestammen og deres konnektivitet ved 3T."
